데이터 출처,AIO_Benchmark 하위출처,검색어,지식인_doc_id,지식인_url,검색엔진,AI 검색 요약 활성화 여부,문법적 형태,검색 의도,주제,LLM 확신도
ORCAS,,"""롤스 로이스""",,,google,FALSE,명사구,상업형,자동차,high
ORCAS,,"""롤스 로이스""",,,naver,FALSE,명사구,상업형,자동차,high
ORCAS,,#else if,,,google,TRUE,명사구,정보형,기술,medium
ORCAS,,#else if,,,naver,TRUE,명사구,정보형,기술,medium
ORCAS,,226,,,google,TRUE,명사구,정보형,기술,medium
ORCAS,,226,,,naver,FALSE,명사구,정보형,기술,medium
ORCAS,,-15의 인수,,,google,TRUE,조사 결합 명사구,정보형,과학,high
ORCAS,,-15의 인수,,,naver,TRUE,조사 결합 명사구,정보형,과학,high
ORCAS,,.hdr,,,google,TRUE,명사구,정보형,기술,medium
ORCAS,,.hdr,,,naver,TRUE,명사구,정보형,기술,medium
ORCAS,,.ics,,,google,TRUE,명사구,정보형,기술,medium
ORCAS,,.ics,,,naver,TRUE,명사구,정보형,기술,medium
ORCAS,,.psd 파일 확장자,,,google,TRUE,명사구,정보형,기술,high
ORCAS,,.psd 파일 확장자,,,naver,TRUE,명사구,정보형,기술,high
ORCAS,,.xz 파일,,,google,TRUE,명사구,정보형,기술,high
ORCAS,,.xz 파일,,,naver,TRUE,명사구,정보형,기술,high
ORCAS,,0.9% 식염수,,,google,TRUE,명사구,정보형,건강,medium
ORCAS,,0.9% 식염수,,,naver,FALSE,명사구,정보형,건강,medium
ORCAS,,"1,8 시네올",,,google,TRUE,명사구,정보형,과학,high
ORCAS,,"1,8 시네올",,,naver,TRUE,명사구,정보형,과학,high
ORCAS,,1/4 캐럿 다이아몬드,,,google,TRUE,명사구,상업형,뷰티 패션,high
ORCAS,,1/4 캐럿 다이아몬드,,,naver,FALSE,명사구,상업형,뷰티 패션,high
ORCAS,,1000 칼로리 식단 계획,,,google,TRUE,명사구,정보형,건강,high
ORCAS,,1000 칼로리 식단 계획,,,naver,TRUE,명사구,정보형,건강,high
ORCAS,,100gb 데이터,,,google,TRUE,명사구,분류 불가,기술,low
ORCAS,,100gb 데이터,,,naver,TRUE,명사구,분류 불가,기술,low
